"Adverbs: inte heller — When do you use 'inte heller'?","Use 'inte heller' after a negation to agree with it ('… neither / … not either'); not 'inte också'.<br><i>Hon kommer inte. Han kommer inte heller.</i>"
"Adverbs: också / inte heller — Where does 'inte heller' go in a full main clause?","In Box 4 (Same position as 'inte').<br><i>Jag är inte heller trött</i>"
"Adverbs: också / inte heller — What is the short reply for “I don’t either / me neither”?","Use the fixed phrase 'Inte jag heller.' (no verb).<br><i>– Jag har ingen katt. – Inte jag heller.</i>"
"Adverbs: också / inte heller — What happens after 'inte heller' if the first clause had 'ingen/inget/inga'?","Switch to 'någon'/'något'/'några' (avoid the negative forms).<br><i>Vi har inga äpplen. De har inte heller några äpplen.</i>"
"Translate: Anna doesn’t like sports. Alex doesn't like sports either.","Anna gillar inte sport. Alex gillar inte heller sport."
"Translate: I have no cat. I don’t either.","Jag har ingen katt. Inte jag heller."
"Translate: I’m tired. Me too.","Jag är trött. Jag också."
"Translate: He isn’t coming. She isn’t comng either.","Han kommer inte. Hon kommer inte heller."
"Translate: We have no apples. They don’t have any apples either.","Vi har inga äpplen. De har inte heller några äpplen."
"Conjunctions: What do coordinating conjunctions do, and do they change word order?","They join same-type units (words, phrases, main clauses) and keep normal word order.<br><i>Jag lagar mat och han diskar.</i>"
"Conjunctions: What does 'eller' mean and how is it used?","Alternative/choice ('or').<br><i>Vi lagar mat eller beställer pizza.</i>"
"Conjunctions: What does 'men' mean and how is it used?","Contrast ('but').<br><i>Hon vill resa men hon har inte tid.</i>"
"Conjunctions: What does 'för' mean and how is it used?","Reason/cause ('for/because', slightly formal).<br><i>Jag går hem, för jag är trött.</i>"
"Conjunctions: What does 'så' mean?","Consequence/result ('so').<br><i>Det regnade, så vi stannade hemma.</i>"
"Translate: We study English and Swedish.","Vi studerar engelska och svenska."
"Translate: Do you want tea or coffee?","Vill du ha te eller kaffe?"
"Translate: He is kind but tired.","Han är snäll men trött."
"Translate: I’m leaving, because I’m cold.","Jag går, för jag fryser."
"Translate: It’s late, so we’re going home.","Det är sent, så vi går hem."
"Conjunctions: What do coordinating conjunctions do, and do they change word order?","They join same-type units (words, phrases, main clauses) and keep normal word order.<br><i>Jag lagar mat och han diskar.</i>"
"Conjunctions: What does 'eller' mean and how is it used?","Alternative/choice ('or').<br><i>Vi lagar mat eller beställer pizza.</i>"
"Conjunctions: What does 'men' mean and how is it used?","Contrast ('but').<br><i>Hon vill resa men hon har inte tid.</i>"
"Conjunctions: What does 'för' mean and how is it used?","Reason/cause ('for/because', slightly formal).<br><i>Jag går hem, för jag är trött.</i>"
"Conjunctions: What does 'så' mean?","Consequence/result ('so').<br><i>Det regnade, så vi stannade hemma.</i>"
"Conjunctions: When may you drop the subject after 'och/men' in clause 2?","Only when the subject would come right after the conjunction and is the same as in clause 1.<br><i>Anna gick hem och somnade direkt.</i>"
"Conjunctions: When must you keep the subject after 'och/men'?","1) If any other element is in Box 1, the subject must be in box 3.<br><i>… och i dag somnade hon direkt.</i><br>2) If the subject changes in clause 2, you must state it.<br><i>Anna gick hem men Peter stannade kvar.</i>"
"Translate: We study English and Swedish.","Vi studerar engelska och svenska."
"Translate: Do you want tea or coffee?","Vill du ha te eller kaffe?"
"Translate: He is kind but tired.","Han är snäll men trött."
"Translate: I’m leaving, because I’m cold.","Jag går, för jag fryser."
"Translate: It’s late, so we’re going home.","Det är sent, så vi går hem."
"Translate: Anna went home but Peter stayed.","Anna gick hem och Peter stannade kvar."
"Translate: Anna went home and there she fell asleep","Anna gick hem och där somnade hon."
